token,symbol,name,expiry,strike,lotsize,instrumenttype,exch_seg,tick_size,freeze_qty
99926041,Nifty CPSE,NIFTY CPSE,,0.000000,1,AMXIDX,NSE,0.000000,0
99926042,Nifty50 PR 1x Inv,NIFTY50 PR 1X INV,,0.000000,1,AMXIDX,NSE,0.000000,0
99926043,Nifty50 TR 2x Lev,NIFTY50 TR 2X LEV,,0.000000,1,AMXIDX,NSE,0.000000,0
99926044,Nifty50 TR 1x Inv,NIFTY50 TR 1X INV,,0.000000,1,AMXIDX,NSE,0.000000,0
99926045,Nifty50 Value 20,NIFTY50 VALUE 20,,0.000000,1,AMXIDX,NSE,0.000000,0
99926046,Nifty Mid Liq 15,NIFTY MID LIQ 15,,0.000000,1,AMXIDX,NSE,0.000000,0
99926047,Nifty Pvt Bank,NIFTY PVT BANK,,0.000000,1,AMXIDX,NSE,0.000000,0
99926048,NIFTY100 Qualty30,NIFTY100 QUALTY30,,0.000000,1,AMXIDX,NSE,0.000000,0
99926049,Nifty GS 8 13Yr,NIFTY GS 8 13YR,,0.000000,1,AMXIDX,NSE,0.000000,0
99926050,Nifty GS 10Yr,NIFTY GS 10YR,,0.000000,1,AMXIDX,NSE,0.000000,0
99926051,Nifty GS 10Yr Cln,NIFTY GS 10YR CLN,,0.000000,1,AMXIDX,NSE,0.000000,0
99926052,Nifty GS 4 8Yr,NIFTY GS 4 8YR,,0.000000,1,AMXIDX,NSE,0.000000,0
99926053,Nifty GS 11 15Yr,NIFTY GS 11 15YR,,0.000000,1,AMXIDX,NSE,0.000000,0
99926054,Nifty GS 15YrPlus,NIFTY GS 15YRPLUS,,0.000000,1,AMXIDX,NSE,0.000000,0
99926055,Nifty GS Compsite,NIFTY GS COMPSITE,,0.000000,1,AMXIDX,NSE,0.000000,0
99926056,NIFTY50 EQL Wgt,NIFTY50 EQL WGT,,0.000000,1,AMXIDX,NSE,0.000000,0
99926057,NIFTY100 EQL Wgt,NIFTY100 EQL WGT,,0.000000,1,AMXIDX,NSE,0.000000,0
99926058,NIFTY100 LowVol30,NIFTY100 LOWVOL30,,0.000000,1,AMXIDX,NSE,0.000000,0
99926059,NIFTY Alpha 50,NIFTY ALPHA 50,,0.000000,1,AMXIDX,NSE,0.000000,0
99926060,NIFTY MIDCAP 150,NIFTY MIDCAP 150,,0.000000,1,AMXIDX,NSE,0.000000,0
99926061,NIFTY SMLCAP 50,NIFTY SMLCAP 50,,0.000000,1,AMXIDX,NSE,0.000000,0
99926062,NIFTY SMLCAP 250,NIFTY SMLCAP 250,,0.000000,1,AMXIDX,NSE,0.000000,0
99926063,NIFTY MIDSML 400,NIFTY MIDSML 400,,0.000000,1,AMXIDX,NSE,0.000000,0
99926064,NIFTY200 QUALTY30,NIFTY200 QUALTY30,,0.000000,1,AMXIDX,NSE,0.000000,0
99926074,NIFTY MID SELECT,MIDCPNIFTY,,0.000000,1,AMXIDX,NSE,0.000000,0
1001,94SFL28-YL,94SFL28,,-1.000000,1,,NSE,1.000000,95689
10123,RUBYMILLS-BE,RUBYMILLS,,-1.000000,1,,NSE,5.000000,307246
10019,EBBE32INAV-EQ,EBBE32INAV,,-1.000000,1,,NSE,1.000000,427393
10098,LICN50INAV-EQ,LICN50INAV,,-1.000000,1,,NSE,1.000000,87782
10232,SGBJUN30-GB,SGBJUN30,,-1.000000,1,,NSE,1.000000,6893
10234,765TN29-SG,765TN29,,-1.000000,100,,NSE,1.000000,1000000
10257,792AP42A-SG,792AP42A,,-1.000000,100,,NSE,1.000000,1000000
10268,804PN42-SG,804PN42,,-1.000000,100,,NSE,1.000000,1000000
10321,PKTEA-EQ,PKTEA,,-1.000000,1,,NSE,5.000000,101235
10350,CSLFINANCE-EQ,CSLFINANCE,,-1.000000,1,,NSE,1.000000,435785
10393,801WB41-SG,801WB41,,-1.000000,100,,NSE,1.000000,1000000
10417,DYCL-EQ,DYCL,,-1.000000,1,,NSE,5.000000,270544
10447,UNITDSPR-EQ,UNITDSPR,,-1.000000,1,,NSE,10.000000,74189
10479,797HR42-SG,797HR42,,-1.000000,100,,NSE,1.000000,1000000
10480,797RJ42-SG,797RJ42,,-1.000000,100,,NSE,1.000000,1000000
10491,AGNI-SM,AGNI,,-1.000000,2500,,NSE,5.000000,638787
100,ARE&M-EQ,ARE&M,,-1.000000,1,,NSE,5.000000,121528
10074,EMAMIPAP-EQ,EMAMIPAP,,-1.000000,1,,NSE,1.000000,1165756
10161,SETF50INAV-EQ,SETF50INAV,,-1.000000,1,,NSE,1.000000,68775
10181,BALKRISHNA-EQ,BALKRISHNA,,-1.000000,1,,NSE,1.000000,1053578
10511,NIFTYBETA-EQ,NIFTYBETA,,-1.000000,1,,NSE,1.000000,375515
10526,757HP31-SG,757HP31,,-1.000000,100,,NSE,1.000000,1000000
10544,764TN32-SG,764TN32,,-1.000000,100,,NSE,1.000000,1000000
10545,784TS36-SG,784TS36,,-1.000000,100,,NSE,1.000000,1000000
10246,782AS32-SG,782AS32,,-1.000000,100,,NSE,1.000000,1000000
10255,795AP40A-SG,795AP40A,,-1.000000,100,,NSE,1.000000,1000000
10271,79TS44-SG,79TS44,,-1.000000,100,,NSE,1.000000,1000000
10276,KAYA-EQ,KAYA,,-1.000000,1,,NSE,1.000000,408941
1030,AARON-EQ,AARON,,-1.000000,1,,NSE,1.000000,684949
10338,787TN33-SG,787TN33,,-1.000000,100,,NSE,1.000000,965200
10579,MARKSANS-EQ,MARKSANS,,-1.000000,1,,NSE,1.000000,379402
10605,LOYALTEX-BE,LOYALTEX,,-1.000000,1,,NSE,1.000000,157497
10634,ASAL-EQ,ASAL,,-1.000000,1,,NSE,5.000000,196670
1077,659HR30-SG,659HR30,,-1.000000,100,,NSE,1.000000,1000000
10374,802MZ36-SG,802MZ36,,-1.000000,100,,NSE,1.000000,294300
10406,STEELCITY-EQ,STEELCITY,,-1.000000,1,,NSE,1.000000,494002
10463,782NL32-SG,782NL32,,-1.000000,100,,NSE,1.000000,817500
10676,MNC-EQ,MNC,,-1.000000,1,,NSE,1.000000,456343
10741,728NTPC30B-N9,728NTPC30B,,-1.000000,1,,NSE,1.000000,42198
1083,661RJ30-SG,661RJ30,,-1.000000,100,,NSE,1.000000,999954
10529,765BR32-SG,765BR32,,-1.000000,100,,NSE,1.000000,1000000
10543,765RJ32-SG,765RJ32,,-1.000000,100,,NSE,1.000000,1000000
10825,MOVALUE-EQ,MOVALUE,,-1.000000,1,,NSE,1.000000,467514
10855,753HR30-SG,753HR30,,-1.000000,100,,NSE,1.000000,1000000
10865,GVPTECH-EQ,GVPTECH,,-1.000000,1,,NSE,1.000000,5325573
10622,SADBHIN-BE,SADBHIN,,-1.000000,1,,NSE,1.000000,11517764
10722,726GS2032-GS,726GS2032,,-1.000000,1,,NSE,1.000000,943800
10885,JFLLIFE-SM,JFLLIFE,,-1.000000,6000,,NSE,5.000000,2157894
10895,DBOL-BE,DBOL,,-1.000000,1,,NSE,1.000000,872797
10651,775TN32-SG,775TN32,,-1.000000,100,,NSE,1.000000,1000000
10717,TEAMGTY-EQ,TEAMGTY,,-1.000000,1,,NSE,5.000000,294075
10726,INDIAMART-EQ,INDIAMART,,-1.000000,1,,NSE,10.000000,51843
10751,762NTPC35F-ND,762NTPC35F,,-1.000000,1,,NSE,1.000000,54196
10771,766UP32-SG,766UP32,,-1.000000,100,,NSE,1.000000,994000
10783,774TS45-SG,774TS45,,-1.000000,100,,NSE,1.000000,1000000
10955,745HR32-SG,745HR32,,-1.000000,100,,NSE,1.000000,1000000
10964,746TS48-SG,746TS48,,-1.000000,100,,NSE,1.000000,1024550
11045,SATIA-EQ,SATIA,,-1.000000,1,,NSE,1.000000,1852100
11060,KSOLVES-EQ,KSOLVES,,-1.000000,1,,NSE,5.000000,351987
11076,AGRITECH-BE,AGRITECH,,-1.000000,1,,NSE,1.000000,194238
11141,SUMIT-BE,SUMIT,,-1.000000,1,,NSE,1.000000,1564981
11155,CNL-EQ,CNL,,-1.000000,1,,NSE,5.000000,135465
1085,GABRIEL-EQ,GABRIEL,,-1.000000,1,,NSE,10.000000,78285
10794,CANBK-EQ,CANBK,,-1.000000,1,,NSE,1.000000,789146
10822,MOQUALITY-EQ,MOQUALITY,,-1.000000,1,,NSE,1.000000,51582
10962,745AP40-SG,745AP40,,-1.000000,100,,NSE,1.000000,1000000
11160,756TS40-SG,756TS40,,-1.000000,100,,NSE,1.000000,1000000
11291,768WB32-SG,768WB32,,-1.000000,100,,NSE,1.000000,1000000
10971,MEGAFLEX-SM,MEGAFLEX,,-1.000000,1000,,NSE,5.000000,396684
11037,BANKIETF-EQ,BANKIETF,,-1.000000,1,,NSE,1.000000,1673550
11325,MUKANDLTD-EQ,MUKANDLTD,,-1.000000,1,,NSE,1.000000,762647
11369,TTKHLTCARE-EQ,TTKHLTCARE,,-1.000000,1,,NSE,5.000000,107842
11373,BIOCON-EQ,BIOCON,,-1.000000,1,,NSE,5.000000,239894
1110,DANGEE-EQ,DANGEE,,-1.000000,1,,NSE,1.000000,5034982
11095,755AS32-SG,755AS32,,-1.000000,100,,NSE,1.000000,1000000
11097,758GA37A-SG,758GA37A,,-1.000000,100,,NSE,1.000000,327000
11154,SGBJUL27-GB,SGBJUL27,,-1.000000,1,,NSE,1.000000,7044
11386,PVTBANIETF-EQ,PVTBANIETF,,-1.000000,1,,NSE,1.000000,3496621
11408,781UP32-SG,781UP32,,-1.000000,100,,NSE,1.000000,978500
11390,776MH30-SG,776MH30,,-1.000000,100,,NSE,1.000000,990400
11403,POONAWALLA-EQ,POONAWALLA,,-1.000000,1,,NSE,5.000000,233327
11253,WELSPUNLIV-EQ,WELSPUNLIV,,-1.000000,1,,NSE,1.000000,616735
11299,76AP28-SG,76AP28,,-1.000000,100,,NSE,1.000000,1000000
1145,GIPCL-EQ,GIPCL,,-1.000000,1,,NSE,1.000000,614189
11439,BANKBEES-EQ,BANKBEES,,-1.000000,1,,NSE,1.000000,165885
11505,785AS32A-SG,785AS32A,,-1.000000,100,,NSE,1.000000,999990
11509,785SK32-SG,785SK32,,-1.000000,100,,NSE,1.000000,654000
1142,GINNIFILA-EQ,GINNIFILA,,-1.000000,1,,NSE,1.000000,2088062
11356,87SCL27-Z6,87SCL27,,-1.000000,1,,NSE,1.000000,17
11440,KRITINUT-BE,KRITINUT,,-1.000000,1,,NSE,1.000000,1203486
11447,CMRSL-SM,CMRSL,,-1.000000,800,,NSE,5.000000,95745
11511,CENTEXT-EQ,CENTEXT,,-1.000000,1,,NSE,1.000000,2616000
11513,785BR32-SG,785BR32,,-1.000000,100,,NSE,1.000000,1000000
11589,762GJ29-SG,762GJ29,,-1.000000,100,,NSE,1.000000,1000000
11598,773BR32-SG,773BR32,,-1.000000,100,,NSE,1.000000,1000000
11476,LLOYDS-ST,LLOYDS,,-1.000000,1000,,NSE,5.000000,789210
11496,AMBICAAGAR-EQ,AMBICAAGAR,,-1.000000,1,,NSE,1.000000,561700
11506,781GJ32-SG,781GJ32,,-1.000000,100,,NSE,1.000000,953100
1165,66PN30-SG,66PN30,,-1.000000,100,,NSE,1.000000,999975
1169,678WB35-SG,678WB35,,-1.000000,100,,NSE,1.000000,1000000
11701,787RJ40-SG,787RJ40,,-1.000000,100,,NSE,1.000000,1000000
11543,COFORGE-EQ,COFORGE,,-1.000000,1,,NSE,10.000000,66916
11604,777JK37-SG,777JK37,,-1.000000,100,,NSE,1.000000,1000000
11606,GUFICBIO-EQ,GUFICBIO,,-1.000000,1,,NSE,5.000000,258829
11703,ALKEM-EQ,ALKEM,,-1.000000,1,,NSE,50.000000,18413
11731,CONSOFINVT-EQ,CONSOFINVT,,-1.000000,1,,NSE,1.000000,443485
11760,775AP29-SG,775AP29,,-1.000000,100,,NSE,1.000000,999950
11619,GOLDENTOBC-BZ,GOLDENTOBC,,-1.000000,1,,NSE,1.000000,575807
11640,BOHRAIND-EQ,BOHRAIND,,-1.000000,1,,NSE,1.000000,692329
11658,79NHIT35-N1,79NHIT35,,-1.000000,1,,NSE,1.000000,321855
11696,789TS36-SG,789TS36,,-1.000000,100,,NSE,1.000000,1000000
1185,AMBER-EQ,AMBER,,-1.000000,1,,NSE,50.000000,13472
1186,GLAND-EQ,GLAND,,-1.000000,1,,NSE,10.000000,42064
11852,SURYALAXMI-EQ,SURYALAXMI,,-1.000000,1,,NSE,1.000000,614932
11854,915SCL27A-ZL,915SCL27A,,-1.000000,1,,NSE,1.000000,2145
11706,781KL44-SG,781KL44,,-1.000000,100,,NSE,1.000000,999900
11757,750IRFC35-NK,750IRFC35,,-1.000000,1,,NSE,1.000000,82779
11765,782RJ32-SG,782RJ32,,-1.000000,100,,NSE,1.000000,1000000
11768,784TS40-SG,784TS40,,-1.000000,100,,NSE,1.000000,999975
11870,785HP36-SG,785HP36,,-1.000000,100,,NSE,1.000000,1000000
11872,GRANULES-EQ,GRANULES,,-1.000000,1,,NSE,5.000000,125633
11873,787MZ36-SG,787MZ36,,-1.000000,100,,NSE,1.000000,327000
11874,784HP37-SG,784HP37,,-1.000000,100,,NSE,1.000000,1000000
11770,78KL45-SG,78KL45,,-1.000000,100,,NSE,1.000000,1000000
11778,GOKEX-EQ,GOKEX,,-1.000000,1,,NSE,5.000000,117604
11845,CYBERMEDIA-BE,CYBERMEDIA,,-1.000000,1,,NSE,1.000000,675529
11856,SHAHALLOYS-EQ,SHAHALLOYS,,-1.000000,1,,NSE,1.000000,647379
1196,KANSAINER-EQ,KANSAINER,,-1.000000,1,,NSE,1.000000,487654
11885,786JH34-SG,786JH34,,-1.000000,100,,NSE,1.000000,1000000
11903,IPSL-SM,IPSL,,-1.000000,500,,NSE,5.000000,281432
11905,GENUSPOWER-EQ,GENUSPOWER,,-1.000000,1,,NSE,5.000000,313978
11909,SWELECTES-EQ,SWELECTES,,-1.000000,1,,NSE,5.000000,157833
11966,BIKAJI-EQ,BIKAJI,,-1.000000,1,,NSE,5.000000,155456
12034,BASML-EQ,BASML,,-1.000000,1,,NSE,1.000000,2613428
11983,SASKEN-EQ,SASKEN,,-1.000000,1,,NSE,10.000000,45711
12015,AEROENTER-EQ,AEROENTER,,-1.000000,1,,NSE,1.000000,702710
12072,SCPL-EQ,SCPL,,-1.000000,1,,NSE,5.000000,205401
12092,KAYNES-EQ,KAYNES,,-1.000000,1,,NSE,10.000000,31707
1214,DELTAMAGNT-EQ,DELTAMAGNT,,-1.000000,1,,NSE,1.000000,354831
1216,PRAXIS-BE,PRAXIS,,-1.000000,1,,NSE,1.000000,6076059
12173,HNDFDS-EQ,HNDFDS,,-1.000000,1,,NSE,5.000000,181492
12328,763TS44-SG,763TS44,,-1.000000,100,,NSE,1.000000,983750
12219,RUSTOMJEE-EQ,RUSTOMJEE,,-1.000000,1,,NSE,5.000000,235564
1237,657GA30-SG,657GA30,,-1.000000,100,,NSE,1.000000,327000
12311,774KA37-SG,774KA37,,-1.000000,100,,NSE,1.000000,1006800
12345,763TN47-SG,763TN47,,-1.000000,100,,NSE,1.000000,1000000
1256,673TS50-SG,673TS50,,-1.000000,100,,NSE,1.000000,999986
1235,GREAVESCOT-EQ,GREAVESCOT,,-1.000000,1,,NSE,1.000000,477084
12716,TEAMLEASE-EQ,TEAMLEASE,,-1.000000,1,,NSE,10.000000,69087
12489,SWSOLAR-EQ,SWSOLAR,,-1.000000,1,,NSE,1.000000,409147
1289,GFLLIMITED-EQ,GFLLIMITED,,-1.000000,1,,NSE,1.000000,2188651
12941,SFLZC26A-ZC,SFLZC26A,,-1.000000,1,,NSE,1.000000,4652
12643,OSIAHYPER-BE,OSIAHYPER,,-1.000000,1,,NSE,1.000000,5786556
13057,UNIPARTS-EQ,UNIPARTS,,-1.000000,1,,NSE,5.000000,150642
12657,744HR27-SG,744HR27,,-1.000000,100,,NSE,1.000000,1000000
12664,757HR30-SG,757HR30,,-1.000000,100,,NSE,1.000000,1003600
13124,755GA32-SG,755GA32,,-1.000000,100,,NSE,1.000000,327000
13147,PVRINOX-EQ,PVRINOX,,-1.000000,1,,NSE,5.000000,103993
13175,NITINSPIN-EQ,NITINSPIN,,-1.000000,1,,NSE,5.000000,178554
13209,SGBSEP27-GB,SGBSEP27,,-1.000000,1,,NSE,1.000000,7041
12701,768JK37-SG,768JK37,,-1.000000,100,,NSE,1.000000,1000000
1327,HCL-INSYS-EQ,HCL-INSYS,,-1.000000,1,,NSE,1.000000,8176586
13236,SADBHAV-EQ,SADBHAV,,-1.000000,1,,NSE,1.000000,5610365
13242,764BR32-SG,764BR32,,-1.000000,100,,NSE,1.000000,1000000
12814,HYBRIDFIN-BE,HYBRIDFIN,,-1.000000,1,,NSE,1.000000,962566
13352,MALUPAPER-EQ,MALUPAPER,,-1.000000,1,,NSE,1.000000,557837
13359,KFINTECH-EQ,KFINTECH,,-1.000000,1,,NSE,5.000000,114930
1315,GALAXYSURF-EQ,GALAXYSURF,,-1.000000,1,,NSE,10.000000,50664
13128,763KA39-SG,763KA39,,-1.000000,100,,NSE,1.000000,1000000
1338,SDBL-EQ,SDBL,,-1.000000,1,,NSE,1.000000,1487371
1342,SGBN28VIII-GB,SGBN28VIII,,-1.000000,1,,NSE,1.000000,7071
13384,765KA34-SG,765KA34,,-1.000000,100,,NSE,1.000000,976000
13368,758JH31-SG,758JH31,,-1.000000,100,,NSE,1.000000,1011600
13377,761RJ32-SG,761RJ32,,-1.000000,100,,NSE,1.000000,999924
13381,KKCL-EQ,KKCL,,-1.000000,1,,NSE,5.000000,202130
13421,EMKAY-EQ,EMKAY,,-1.000000,1,,NSE,1.000000,364737
13517,EMAMILTD-EQ,EMAMILTD,,-1.000000,1,,NSE,5.000000,244440
13570,RBMINFRA-SM,RBMINFRA,,-1.000000,200,,NSE,5.000000,347699
13389,767TS35-SG,767TS35,,-1.000000,100,,NSE,1.000000,1000000
13404,SUNTV-EQ,SUNTV,,-1.000000,1,,NSE,5.000000,194677
13451,RATNAMANI-EQ,RATNAMANI,,-1.000000,1,,NSE,10.000000,38901
136,ANDHRSUGAR-EQ,ANDHRSUGAR,,-1.000000,1,,NSE,1.000000,1283520
13580,RADIANTCMS-EQ,RADIANTCMS,,-1.000000,1,,NSE,1.000000,2555547
13592,HGM-EQ,HGM,,-1.000000,1,,NSE,1.000000,411855
13497,965SCL25C-N0,965SCL25C,,-1.000000,1,,NSE,1.000000,5967
13507,MOXSH-ST,MOXSH,,-1.000000,1600,,NSE,5.000000,305444
1361,622KL27-SG,622KL27,,-1.000000,100,,NSE,1.000000,1000000
13644,BANKADD-EQ,BANKADD,,-1.000000,1,,NSE,1.000000,1679255
13658,GEECEE-EQ,GEECEE,,-1.000000,1,,NSE,5.000000,300961
13522,NECCLTD-EQ,NECCLTD,,-1.000000,1,,NSE,1.000000,3417150
13528,GMRAIRPORT-EQ,GMRAIRPORT,,-1.000000,1,,NSE,1.000000,908071
13575,MANUGRAPH-BE,MANUGRAPH,,-1.000000,1,,NSE,1.000000,994572
1369,662RJ30-SG,662RJ30,,-1.000000,100,,NSE,1.000000,999900
13664,ANLON-ST,ANLON,,-1.000000,400,,NSE,5.000000,148146
13702,VISHWARAJ-EQ,VISHWARAJ,,-1.000000,1,,NSE,1.000000,7122965
13619,764GA38-SG,764GA38,,-1.000000,100,,NSE,1.000000,654000
13637,JMFINANCIL-EQ,JMFINANCIL,,-1.000000,1,,NSE,1.000000,808213
13826,SOBHA-EQ,SOBHA,,-1.000000,1,,NSE,10.000000,72072
13874,765TN33-SG,765TN33,,-1.000000,100,,NSE,1.000000,999900
1364,649GJ29-SG,649GJ29,,-1.000000,100,,NSE,1.000000,999900
13710,FIEMIND-EQ,FIEMIND,,-1.000000,1,,NSE,10.000000,44532
13715,757TN33-SG,757TN33,,-1.000000,100,,NSE,1.000000,1035700
13900,CREST-EQ,CREST,,-1.000000,1,,NSE,5.000000,263188
13964,765GJ33-SG,765GJ33,,-1.000000,100,,NSE,1.000000,980400
13973,772UP36-SG,772UP36,,-1.000000,100,,NSE,1.000000,999950
13981,SGBOCT27-GB,SGBOCT27,,-1.000000,1,,NSE,1.000000,7066
1376,668JH32-SG,668JH32,,-1.000000,100,,NSE,1.000000,1000000
13810,GREENPANEL-EQ,GREENPANEL,,-1.000000,1,,NSE,1.000000,519940
13908,762TN43-SG,762TN43,,-1.000000,100,,NSE,1.000000,999900
1403,HINDOILEXP-EQ,HINDOILEXP,,-1.000000,1,,NSE,1.000000,626148
13951,PARACABLES-EQ,PARACABLES,,-1.000000,1,,NSE,1.000000,1474468
13966,HBLENGINE-EQ,HBLENGINE,,-1.000000,1,,NSE,5.000000,126123
13972,771AP36-SG,771AP36,,-1.000000,100,,NSE,1.000000,1000000
13993,768TS42-SG,768TS42,,-1.000000,100,,NSE,1.000000,1000000
13995,766TS44-SG,766TS44,,-1.000000,100,,NSE,1.000000,1000000
14076,JAIBALAJI-BE,JAIBALAJI,,-1.000000,1,,NSE,1.000000,1487891
13991,771WB39-SG,771WB39,,-1.000000,100,,NSE,1.000000,1000000
14003,ZEEMEDIA-EQ,ZEEMEDIA,,-1.000000,1,,NSE,1.000000,12375982
14019,VEEDOL-EQ,VEEDOL,,-1.000000,1,,NSE,10.000000,69016
14043,SARLAPOLY-EQ,SARLAPOLY,,-1.000000,1,,NSE,1.000000,1026145
14068,SAGCEM-EQ,SAGCEM,,-1.000000,1,,NSE,1.000000,569884
14096,SIYSIL-EQ,SIYSIL,,-1.000000,1,,NSE,5.000000,157252
14092,767AS33A-SG,767AS33A,,-1.000000,100,,NSE,1.000000,1000000
14102,767UK33-SG,767UK33,,-1.000000,100,,NSE,1.000000,999975
14110,AUTOIND-BE,AUTOIND,,-1.000000,1,,NSE,1.000000,1176856
14111,NETWORK18-EQ,NETWORK18,,-1.000000,1,,NSE,1.000000,3184230
14163,762MP34-SG,762MP34,,-1.000000,100,,NSE,1.000000,999900
14276,759HP38-SG,759HP38,,-1.000000,100,,NSE,1.000000,999960
14113,756RJ48-SG,756RJ48,,-1.000000,100,,NSE,1.000000,1000000
14134,PITTIENG-EQ,PITTIENG,,-1.000000,1,,NSE,5.000000,103622
14309,INDIANB-EQ,INDIANB,,-1.000000,1,,NSE,5.000000,122573
14314,TTL-EQ,TTL,,-1.000000,1,,NSE,1.000000,8446767
14329,SMSPHARMA-EQ,SMSPHARMA,,-1.000000,1,,NSE,5.000000,262600
1422,66RJ30B-SG,66RJ30B,,-1.000000,100,,NSE,1.000000,1000000
14274,766SK33-SG,766SK33,,-1.000000,100,,NSE,1.000000,999987
14279,759PN39-SG,759PN39,,-1.000000,100,,NSE,1.000000,1000000
14359,77AP28-SG,77AP28,,-1.000000,100,,NSE,1.000000,1000000
14399,UTIRGR36P1-MF,UTIRGR36P1,,-1.000000,1,,NSE,1.000000,400720
14286,GOLDETF-EQ,GOLDETF,,-1.000000,1,,NSE,1.000000,737269
14413,PAGEIND-EQ,PAGEIND,,-1.000000,1,,NSE,500.000000,2465
14421,77AP29-SG,77AP29,,-1.000000,100,,NSE,1.000000,999960
14445,NAHARPOLY-EQ,NAHARPOLY,,-1.000000,1,,NSE,5.000000,399899
14347,769WB42-SG,769WB42,,-1.000000,100,,NSE,1.000000,1000000
14351,769AP43-SG,769AP43,,-1.000000,100,,NSE,1.000000,1000000
1446,671TS40-SG,671TS40,,-1.000000,100,,NSE,1.000000,1000000
14334,HSCL-EQ,HSCL,,-1.000000,1,,NSE,5.000000,147830
14450,EMBDL-EQ,EMBDL,,-1.000000,1,,NSE,1.000000,1621478
14480,GOKULAGRO-EQ,GOKULAGRO,,-1.000000,1,,NSE,1.000000,470073
1437,668KA36-SG,668KA36,,-1.000000,100,,NSE,1.000000,1000000
1453,654KA30-SG,654KA30,,-1.000000,100,,NSE,1.000000,1052600
14355,758KL49-SG,758KL49,,-1.000000,100,,NSE,1.000000,1000000
14369,773HR32-SG,773HR32,,-1.000000,100,,NSE,1.000000,1000000
14518,ABSLLIQUID-EQ,ABSLLIQUID,,-1.000000,1,,NSE,1.000000,11527
144,GODREJAGRO-EQ,GODREJAGRO,,-1.000000,1,,NSE,5.000000,179279
14381,769PN39-SG,769PN39,,-1.000000,100,,NSE,1.000000,1000000
14441,775UP35-SG,775UP35,,-1.000000,100,,NSE,1.000000,1000000
14557,AROGRANITE-EQ,AROGRANITE,,-1.000000,1,,NSE,1.000000,500310
14563,766KL50-SG,766KL50,,-1.000000,100,,NSE,1.000000,970800
14598,SGBMAR31IV-GB,SGBMAR31IV,,-1.000000,1,,NSE,1.000000,6872
